Model,OOF_AUROC_mean,OOF_AUROC_std,OOF_AUROC_overall,OOF_AUPRC,Brier,LogLoss,Accuracy,F1,Latency_ms_per_example
XGBoost,0.8507303517151541,0.0421187110842198,0.8477436513383665,0.802015131457771,0.1486363806471725,0.4736152086237375,0.7908902691511387,0.8133086876155268,0.022351812813869082
Random Forest,0.8452305688232741,0.04577247898637425,0.8399193548387097,0.7906491925559873,0.13701224449498753,0.4213779178651942,0.8198757763975155,0.8432432432432433,0.8155546562268204
Logistic Regression,0.8214511506730352,0.01550523785610754,0.8218170899107755,0.7587211514614214,0.1660385385012591,0.5061580774538169,0.7494824016563147,0.7695238095238095,0.0067051115731430275
Small MLP,0.7924941380807643,0.023350454686764877,0.7966798215511324,0.7490430524950448,0.22006844066096728,0.6317147514049846,0.7391304347826086,0.7700729927007299,0.006000884971171345
