cosine_similarity,entity_overlap,length_ratio,sentence_count_ratio,section_coverage,verbatim_copy_rate,trailing_specificity,constraint_count,role_pronoun_rate,novel_api_rate,function_name_preserved,signature_param_diff,nli_contradiction_max,nli_entailment_mean,task_id,source,corruption_type,label
0.7439493536949158,0.8333333333333334,12.4375,26.0,1.0,0.010362694300518135,0.18333333333333332,3.125,0.0,1.0,0.5,0.0,0.16484670341014862,0.010652839206159115,task_002,hand_easy,none,1
0.01369120366871357,0.0,0.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5194098949432373,0.0009730843594297767,task_002,hand_easy,tool_result_drop,0
0.688464879989624,0.8571428571428571,7.6,10.0,1.0,0.020134228187919462,0.17391304347826086,1.5,0.0,1.0,0.5,0.0,0.4296542704105377,0.27737030386924744,task_003,hand_easy,none,1
0.5735095739364624,0.8571428571428571,2.25,1.5,0.8,0.07142857142857142,0.2857142857142857,0.0,0.0,1.0,0.5,0.0,0.7786610126495361,0.2238113135099411,task_003,hand_easy,truncation,0
0.5273442268371582,0.14285714285714285,1.2,0.5,0.4,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.12679757177829742,0.0019172769971191883,task_003,hand_easy,over_summarization,0
0.7458552122116089,0.6,16.1875,23.0,1.0,0.031746031746031744,0.05128205128205128,3.75,0.0,1.0,0.5,0.0,0.12501761317253113,0.3611393868923187,task_005,hand_easy,none,1
0.5635758638381958,0.6666666666666666,10.5,17.0,0.8,0.007142857142857143,0.6666666666666666,0.7142857142857143,0.006802721088435374,1.0,0.5,0.0,0.43890321254730225,0.05618749186396599,task_006,hand_easy,none,1
0.7214580774307251,0.6666666666666666,11.642857142857142,15.0,1.0,0.0125,0.04081632653061224,1.4285714285714286,0.0,1.0,0.5,0.0,0.048749517649412155,0.00983402505517006,task_007,hand_easy,none,1
0.6624811291694641,0.6666666666666666,10.578947368421053,12.5,1.0,0.010101010101010102,0.22950819672131148,4.2105263157894735,0.0,1.0,0.5,0.0,0.9084798097610474,0.019837580621242523,task_009,hand_easy,none,1
0.7872220873832703,0.8,11.571428571428571,22.0,1.0,0.004329004329004329,0.1917808219178082,1.4285714285714286,0.0,1.0,0.5,0.0,0.0023085917346179485,0.3298357427120209,task_010,hand_easy,none,1
0.7027533054351807,0.2,2.761904761904762,3.0,0.4,0.018518518518518517,0.0,0.47619047619047616,0.0,0.0,0.5,0.0,0.052632443606853485,0.19150756299495697,task_010,hand_easy,tool_result_drop,0
0.7259991765022278,0.2,1.0952380952380953,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0022523165680468082,0.001700802706182003,task_010,hand_easy,over_summarization,0
0.7356112599372864,0.6,10.277777777777779,25.0,1.0,0.0,0.14285714285714285,3.333333333333333,0.0,1.0,0.5,0.0,0.014428107999265194,0.048472072929143906,task_011,hand_easy,none,1
0.6868842244148254,0.8571428571428571,9.368421052631579,19.0,1.0,0.04,0.09259259259259259,3.1578947368421053,0.0,1.0,0.5,0.0,0.9693787097930908,0.01115152146667242,task_012,hand_easy,none,1
0.7123227715492249,0.8571428571428571,8.210526315789474,16.0,0.8,0.0457516339869281,0.10638297872340426,1.5789473684210527,0.0,1.0,0.5,0.0,0.8097894191741943,0.01526094600558281,task_012,hand_easy,entity_omission,0
0.8251588940620422,0.8571428571428571,5.833333333333333,6.0,1.0,0.0,0.11904761904761904,1.25,0.0,1.0,0.5,0.0,0.07445834577083588,0.03638825938105583,task_015,hand_easy,none,1
0.7076399326324463,0.75,14.23076923076923,16.0,1.0,0.022099447513812154,0.16071428571428573,3.0769230769230766,0.0,1.0,0.5,0.0,0.04378011077642441,0.2974098026752472,task_017,hand_easy,none,1
0.7053883671760559,0.7142857142857143,8.666666666666666,23.0,1.0,0.004901960784313725,0.14285714285714285,2.0833333333333335,0.0,1.0,0.5,0.0,0.014333363622426987,0.30294033885002136,task_018,hand_easy,none,1
0.7114118337631226,0.8333333333333334,8.176470588235293,12.0,1.0,0.029411764705882353,0.023809523809523808,2.3529411764705883,0.0,1.0,0.5,0.0,0.07795818150043488,0.32108715176582336,task_019,hand_easy,none,1
0.720827043056488,0.8,8.777777777777779,14.0,1.0,0.02666666666666667,0.16666666666666666,1.6666666666666665,0.0,1.0,0.5,0.0,0.06018795818090439,0.021389588713645935,task_021,hand_easy,none,1
0.6152706146240234,0.8333333333333334,13.75,27.0,1.0,0.02214022140221402,0.07228915662650602,2.0,0.0036363636363636364,0.0,0.5,0.0,0.1034364253282547,0.08441388607025146,task_022,hand_easy,none,1
0.7455294728279114,0.75,11.56,15.5,1.0,0.02527075812274368,0.05747126436781609,2.4,0.0,1.0,0.5,0.0,0.034003257751464844,0.22202962636947632,task_024,hand_easy,none,1
0.6643925905227661,0.8333333333333334,15.428571428571429,24.0,1.0,0.02830188679245283,0.09230769230769231,2.142857142857143,0.0,1.0,0.5,0.0,0.025121968239545822,0.02253340370953083,task_026,hand_easy,none,1
0.6867335438728333,0.7142857142857143,11.090909090909092,26.0,1.0,0.029535864978902954,0.05405405405405406,3.1818181818181817,0.0,1.0,0.5,0.0,0.0013846533838659525,0.32766762375831604,task_028,hand_easy,none,1
0.7281606197357178,0.8,10.789473684210526,21.0,1.0,0.021164021164021163,0.41935483870967744,2.6315789473684212,0.0,1.0,0.5,0.0,0.009716360829770565,0.0031173850875347853,task_030,hand_easy,none,1
