Model,OOF_AUROC_mean,OOF_AUROC_std,OOF_AUROC_overall,OOF_AUPRC,Brier,LogLoss,Accuracy,F1,Latency_ms_per_example
Random Forest,0.8782197134172817,0.06014253305118863,0.8727179135209334,0.7947345730344002,0.1148912531398389,0.3632277503563402,0.8530020703933747,0.8725314183123878,0.28895733481739316
XGBoost,0.8763864524533217,0.055571129960232564,0.8734214138641043,0.8021225800646681,0.12308463951159594,0.428520030020657,0.8488612836438924,0.8655616942909761,0.013885549810687816
Logistic Regression,0.857311333043856,0.03360043378068685,0.855130404941661,0.8035705206227753,0.135181477468718,0.414359143782577,0.8157349896480331,0.8402154398563735,0.00498185568941994
Small MLP,0.7934641771602258,0.06033961748759091,0.7954701441317776,0.7215188531924973,0.1915502603406942,0.5587019404096271,0.6811594202898551,0.6577777777777778,0.003600556229275597
