model,oof_auroc,mean_fold_auroc,std_fold_auroc,oof_auprc,oof_brier,oof_logloss,accuracy,precision,recall,f1_score,latency_ms
LogisticRegression,0.6736,0.6756,0.0118,0.2395,0.2297,0.6425,0.5705,0.2294,0.7074,0.3465,0.1
XGBoost,0.6836,0.6852,0.01,0.2474,0.127,0.4021,0.839,0.0,0.0,0.0,0.77
RandomForest,0.6674,0.669,0.0123,0.2327,0.2218,0.6213,0.4978,0.2212,0.841,0.3503,4.64
SVM_RBF,0.6798,0.6813,0.0099,0.2424,0.1293,0.4183,0.839,0.0,0.0,0.0,0.26
LLM-as-Judge (baseline),BLOCKED,BLOCKED,BLOCKED,BLOCKED,n/a,n/a,BLOCKED,BLOCKED,BLOCKED,BLOCKED,~3933
