tau_low,tau_high,routing_rate_pct,fast_auroc,combined_auroc,delta_auroc,combined_auprc,latency_ms
0.4,0.6,42.06,0.6771,0.6805,0.0034,0.2439,10.98
0.35,0.65,69.51,0.6771,0.6804,0.0033,0.243,17.62
0.3,0.7,74.0,0.6771,0.6782,0.0011,0.2406,18.71
0.25,0.75,77.08,0.6771,0.6772,0.0001,0.2403,19.45
0.2,0.8,79.53,0.6771,0.6768,-0.0003,0.2403,20.05
