model,n_rows,n_features,feature_set,auroc_mean,auroc_ci_lower,auroc_ci_upper,auprc_mean,auprc_ci_lower,auprc_ci_upper,brier_score
RandomForest,483,11,11_gate_features_no_NLI,0.8719,0.8384,0.9047,0.8154,0.7613,0.8713,0.1147
XGBoost,483,11,11_gate_features_no_NLI,0.8736,0.8377,0.9076,0.8037,0.7419,0.8612,0.1227
LogisticRegression,483,11,11_gate_features_no_NLI,0.8381,0.7991,0.875,0.739,0.6752,0.8034,0.1491
SmallMLP,483,11,11_gate_features_no_NLI,0.8649,0.8263,0.8971,0.8117,0.7523,0.8675,0.1178
